                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5122,                 2.7677,                 1.5244,                0.72403,                0.33327,                0.38243,                0.23633,                0.30167,                 19.571,                0.27473,              0.0033325,              0.0033325,              0.0033325
                      2,                 1.4165,                  1.692,                 1.4116,                0.56716,                0.34133,                0.40418,                0.26305,                0.29869,                 6.2327,                0.27275,              0.0066526,              0.0066526,              0.0066526
                      3,                 1.4766,                 1.5709,                 1.4553,                0.69586,                 0.3505,                0.38739,                0.25945,                0.30822,                  6.837,                0.28198,              0.0099595,              0.0099595,              0.0099595
                      4,                 1.4828,                 1.5041,                 1.4743,                0.57738,                 0.3923,                0.42016,                0.28672,                0.28901,                 6.1663,                0.26964,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.4043,                  1.361,                  1.418,                0.69229,                  0.404,                0.42963,                0.30762,                0.27124,                 4.2558,                0.26028,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.3543,                 1.2655,                  1.387,                0.69179,                0.41421,                0.47299,                0.35217,                0.26259,                 3.9265,                0.25552,              0.0099208,              0.0099208,              0.0099208
                      7,                 1.3228,                 1.2025,                  1.362,                  0.894,                0.35003,                0.45953,                0.34117,                0.25898,                  5.642,                0.25247,               0.009901,               0.009901,               0.009901
                      8,                 1.2972,                 1.1592,                 1.3444,                0.63984,                0.42691,                0.44551,                0.33532,                0.25216,                 5.8053,                0.24886,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.2724,                 1.1246,                 1.3257,                0.64179,                0.42937,                0.47693,                0.36452,                0.24842,                 5.1252,                 0.2453,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.2686,                 1.1088,                 1.3209,                0.61705,                0.43447,                0.48281,                0.36947,                 0.2435,                 4.2436,                0.24308,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.2507,                 1.0814,                 1.3103,                0.68048,                 0.4329,                0.49355,                0.38321,                0.24235,                 4.5905,                0.24266,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.2335,                 1.0547,                 1.3019,                0.64128,                0.43861,                0.47819,                0.36938,                0.24064,                 4.8041,                0.24202,               0.009802,               0.009802,               0.009802
                     13,                 1.2238,                 1.0418,                  1.292,                0.63752,                0.44415,                0.48783,                 0.3803,                0.23748,                 4.7326,                0.24046,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.2227,                 1.0292,                 1.2908,                0.64568,                0.43752,                 0.4832,                0.37775,                0.23582,                 4.8115,                0.23883,              0.0097624,              0.0097624,              0.0097624
                     15,                 1.2143,                 1.0137,                  1.282,                0.62941,                0.44584,                 0.4774,                0.37442,                0.23478,                 4.4288,                0.23823,              0.0097426,              0.0097426,              0.0097426
                     16,                 1.2098,                 1.0024,                 1.2801,                 0.5984,                0.44846,                0.48109,                0.37851,                0.23395,                 4.8644,                 0.2376,              0.0097228,              0.0097228,              0.0097228
                     17,                 1.1954,                0.98876,                 1.2698,                0.60528,                0.44799,                0.48784,                0.38425,                0.23282,                  4.703,                 0.2368,               0.009703,               0.009703,               0.009703
                     18,                  1.199,                 0.9898,                  1.271,                0.61112,                0.44833,                0.49147,                 0.3873,                0.23213,                 4.6473,                0.23658,              0.0096832,              0.0096832,              0.0096832
                     19,                 1.1854,                0.97414,                 1.2671,                0.63783,                0.44758,                0.49361,                0.38998,                0.23165,                   4.62,                0.23636,              0.0096634,              0.0096634,              0.0096634
                     20,                 1.1883,                0.96812,                 1.2623,                0.66035,                0.44695,                0.49769,                0.39401,                0.23106,                 4.5643,                 0.2361,              0.0096436,              0.0096436,              0.0096436
